,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
delet,2.9783549061885184E-4,3.965144772369777E-4,0.004927507286719136,1.907860269840125E-7,5.035895541282011E-4,2.746561170899793E-4,1.5104658669454785E-7,2.5147907417475883E-7,0.003831305960724496,1.657694670544788E-7,1.9568079126196317E-4,2.3145608560542198E-7,7.354138628362162E-4,1.5912950280058384E-4,1.5937590943878323E-7,1.450226626914988E-7,2.296488622965713E-7,0.001528006079586069,2.537765761174925E-7,3.5934440925826356E-4,2.6052019630717833E-7,0.0010396064920005805,1.4111390234409948E-7,0.0011310330478754049,2.0368405652364827E-4,3.794462625586093E-4
reboot,1.489921669712497E-4,1.983563176982582E-4,4.92898548963172E-4,1.907860269840125E-7,0.0012585963819066138,2.746561170899793E-4,3.022442199757902E-4,0.0015091259241227278,4.106192346035574E-4,4.974741706304909E-4,0.0027369897686900565,2.3145608560542198E-7,0.006617254305415299,0.0015898642932154238,3.189111947870052E-4,2.9019034804568907E-4,2.296488622965713E-7,4.702370836415555E-4,2.537765761174925E-7,1.795824134224206E-7,2.6052019630717833E-7,0.0010396064920005805,1.4111390234409948E-7,2.826875900713334E-7,4.071646324713489E-4,1.896283171207443E-7
repair,5.955221379140561E-4,3.965144772369777E-4,1.6424476806503567E-7,1.907860269840125E-7,2.5192061153539696E-4,1.3739668825940492E-4,1.5104658669454785E-7,0.0015091259241227278,1.3696429651388235E-4,1.657694670544788E-7,0.0017595632389100207,2.3145608560542198E-7,7.354138628362162E-4,1.5897053226831555E-7,1.59535285348222E-4,1.450226626914988E-7,2.296488622965713E-7,1.1764741832671757E-4,2.540303526936099E-4,1.795824134224206E-7,2.6052019630717833E-7,0.0012474862144562053,0.00874920305923651,2.826875900713334E-7,4.071646324713489E-4,1.896283171207443E-7
gb,1.4884332364760212E-7,0.0025762542321628923,0.006734199735434527,1.907860269840125E-7,2.5192061153539696E-4,1.3725942883057437E-7,4.532908066703381E-4,0.0015091259241227278,1.3682746904483755E-7,3.3170470357601206E-4,1.954853059560072E-7,4.631436272964494E-4,5.516063490056197E-4,6.360410996055306E-4,4.7828710422578846E-4,2.9019034804568907E-4,6.891762357520104E-4,1.1764741832671757E-4,2.537765761174925E-7,1.795824134224206E-7,7.818211091178421E-4,6.238470470893304E-4,1.4111390234409948E-7,2.829702776614047E-4,8.141257843667502E-4,7.58702896800098E-4
matter,1.4884332364760212E-7,9.909889558531364E-4,0.0011498776212233149,5.725488669790215E-4,0.0010069274393138096,5.49174974751128E-4,1.5104658669454785E-7,0.0015091259241227278,0.001094756579827745,1.657694670544788E-7,3.9116609721797036E-4,0.0013889679697181375,5.516063490056197E-4,0.0019078053577520548,1.5937590943878323E-7,7.252583361201855E-4,2.296488622965713E-7,5.877669720798348E-4,5.078069288111023E-4,1.795824134224206E-7,2.6078071650348546E-4,0.0010396064920005805,1.4111390234409948E-7,2.826875900713334E-7,2.034805759477006E-7,0.0011379595310415866
site,2.9783549061885184E-4,1.981581595387195E-7,6.571433170282077E-4,3.81762839995009E-4,2.5166894259280416E-7,1.3725942883057437E-7,6.04337393364886E-4,2.5147907417475883E-7,4.106192346035574E-4,1.657694670544788E-7,1.954853059560072E-7,9.260557985072934E-4,1.8380751383059639E-7,1.5912950280058384E-4,4.7828710422578846E-4,0.0011603263241946819,0.0011484739603451531,0.0029383647408454208,2.537765761174925E-7,1.795824134224206E-7,0.0013028615017321987,0.002494764549189955,0.0011290523326551397,2.826875900713334E-7,8.141257843667502E-4,1.896283171207443E-7
broke,0.0013397387561520666,1.981581595387195E-7,1.6424476806503567E-7,1.909768130109965E-4,5.035895541282011E-4,2.746561170899793E-4,4.532908066703381E-4,2.5147907417475883E-7,1.3682746904483755E-7,9.947825717939274E-4,0.0015640779329540134,2.3145608560542198E-7,0.002205873973480987,0.0011129526964104772,1.5937590943878323E-7,8.702809988116844E-4,2.296488622965713E-7,1.175298884382793E-7,7.615835049285948E-4,1.795824134224206E-7,0.0028659826795752684,4.159673246337055E-4,0.0016935079420315378,8.483454578040715E-4,2.034805759477006E-7,1.896283171207443E-7
hit,2.9783549061885184E-4,3.965144772369777E-4,1.6424476806503567E-7,1.907860269840125E-7,5.035895541282011E-4,1.3739668825940492E-4,0.0013595703268376252,0.0030180003691712806,0.003283996084545146,3.3170470357601206E-4,0.0013685926269980065,2.3145608560542198E-7,0.001103028890497409,3.1810003506889937E-4,4.7828710422578846E-4,2.9019034804568907E-4,4.5952737345543915E-4,4.702370836415555E-4,2.540303526936099E-4,1.795824134224206E-7,2.6078071650348546E-4,2.0787972245562495E-7,1.4111390234409948E-7,8.483454578040715E-4,8.141257843667502E-4,1.896283171207443E-7
audio,1.489921669712497E-4,1.983563176982582E-4,4.92898548963172E-4,3.81762839995009E-4,0.0012585963819066138,2.746561170899793E-4,0.0031721293671721994,0.001257646849947969,1.3696429651388235E-4,0.0034813245776111096,0.0021505338508220353,2.3145608560542198E-7,7.354138628362162E-4,1.5897053226831555E-7,1.5937590943878323E-7,1.4516768535419028E-4,2.296488622965713E-7,3.5270719520327613E-4,0.002030466385516057,1.795824134224206E-7,2.6078071650348546E-4,2.0787972245562495E-7,1.4111390234409948E-7,0.001979095818089405,2.0368405652364827E-4,0.002465357750886797
record,1.489921669712497E-4,1.981581595387195E-7,0.0013141223892883503,1.907860269840125E-7,0.001761934267092222,1.3739668825940492E-4,0.003776315713950391,0.00100616777577321,1.3682746904483755E-7,0.0018236299070663211,3.9116609721797036E-4,9.260557985072934E-4,1.8399132134442695E-4,3.1810003506889937E-4,1.59535285348222E-4,1.4516768535419028E-4,0.0013781228226417243,3.5270719520327613E-4,5.078069288111023E-4,1.7976199583584298E-4,2.6052019630717833E-7,8.317267695449555E-4,9.879384303110405E-4,2.826875900713334E-7,2.034805759477006E-7,1.8981794543786504E-4
