,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
minor,3.563426618589009E-4,4.3398923249644264E-4,8.487080138931268E-4,6.22334386240137E-8,6.225820561905033E-4,2.9265191347977685E-4,2.50239065445062E-4,4.8506522878492337E-4,1.2213823168243765E-4,1.6513843454266832E-4,0.0010358840893430704,4.4068497337887603E-4,0.0011623744516784888,6.035625174501078E-4,6.21811367224063E-4,0.001480116981134868
pain,2.3758156808822907E-4,0.0010125451165110303,2.829655315735222E-4,4.356963038067199E-4,6.923726677554648E-5,2.9265191347977685E-4,3.3362429218450286E-4,8.09115637416611E-5,1.220162154669707E-7,0.001320722281725619,2.3911146466568377E-4,3.147929655574574E-4,5.166826109505204E-4,5.02985527373436E-4,2.4879914933320337E-4,0.002405132280887926
broadcast,5.344843025149086E-4,2.1703077599097222E-4,5.658367727333245E-4,3.734628651827062E-4,1.3840536545241608E-4,0.002560137371583521,4.170095189239437E-4,0.0025058335540012345,4.8818687808334984E-4,4.953052480235114E-4,5.578205145366386E-4,1.2595495382532936E-4,1.2926750651373928E-4,6.035625174501078E-4,1.2446174336958347E-4,0.0011101108612336448
tuner,3.563426618589009E-4,2.893502614927957E-4,9.42904137199341E-8,6.22334386240137E-8,6.923726677554648E-5,8.046647588580417E-4,8.338522673944085E-8,0.0037991252821396736,1.2213823168243765E-4,5.508283004905397E-5,7.975693973020641E-5,1.2595495382532936E-4,5.166826109505204E-4,0.0015087554281401545,8.704861791513028E-4,0.002035126160986703
die,4.1572320874423685E-4,4.3398923249644264E-4,3.7725594529345636E-4,7.468634969267883E-4,4.150777601598946E-4,7.321783688909187E-5,1.6685383870562113E-4,2.4257302975896599E-4,6.102030935503205E-4,3.3022184128308986E-4,3.1878872713342245E-4,0.0015107670398609347,5.166826109505204E-4,1.0067756706674851E-4,0.0016165106149330219,6.476032113571159E-4
eye,0.0021377590684189787,2.1703077599097222E-4,3.7725594529345636E-4,3.112294265586925E-4,4.150777601598946E-4,6.583753744642517E-4,4.170095189239437E-4,4.8506522878492337E-4,7.322193090172912E-4,5.508283004905397E-5,0.001195238614278548,1.889009577360387E-4,5.166826109505204E-4,1.0067756706674851E-4,1.2433740596361988E-7,9.250152997530579E-8
larger,6.532453962855805E-4,1.4471129048914874E-4,6.601271864532586E-4,8.09096935550802E-4,0.0013834311416360693,5.852306822673567E-4,1.6685383870562113E-4,3.234037627676185E-4,4.8818687808334984E-4,2.2016623678947553E-4,3.1878872713342245E-4,6.300894991462003E-5,1.291383681455937E-7,8.047164976034514E-4,1.2433740596361988E-7,3.700986214311985E-4
vga,5.9439927432221255E-5,1.4471129048914874E-4,0.0012258696687728631,6.22334386240137E-8,1.3840536545241608E-4,7.315200666611467E-4,8.346861196618028E-5,0.001293372558871448,1.2213823168243765E-4,3.3022184128308986E-4,4.781432520688998E-4,1.2595495382532936E-4,6.458209790961142E-4,0.005129527070900341,1.2446174336958347E-4,1.8509556148058688E-4
burn,0.001068909224482932,2.893502614927957E-4,0.001037288841332995,1.867625493106651E-4,3.4590966148302497E-4,8.778094510549367E-4,3.3362429218450286E-4,5.658959617935758E-4,2.441544471494084E-4,3.3022184128308986E-4,0.00406362006311714,1.889009577360387E-4,9.040977153873016E-4,9.052934876801233E-4,0.001492173208969402,4.6260015140650433E-4
file,2.3758156808822907E-4,0.001735739971529265,9.42904137199341E-8,4.356963038067199E-4,3.4590966148302497E-4,7.315200666611467E-4,3.3362429218450286E-4,4.8506522878492337E-4,2.441544471494084E-4,0.001981055908687305,7.967726246773868E-8,9.442530046645507E-4,3.875442428049267E-4,0.0010058704777567951,3.731365552968232E-4,9.251078012830332E-4
step,4.7510375562957274E-4,4.3398923249644264E-4,4.7154635901339046E-4,6.846300583027746E-4,6.923726677554648E-5,7.314469219689498E-8,7.505504258817071E-4,4.0423449577627095E-4,6.102030935503205E-4,4.4027744577670416E-4,2.3911146466568377E-4,9.442530046645507E-4,0.001033236083532895,3.0183154722009223E-4,4.974739612604432E-4,6.476032113571159E-4
stuck,2.3758156808822907E-4,7.232671745037364E-4,6.601271864532586E-4,2.4899598793467884E-4,2.7674156280615536E-4,3.6579660567667184E-4,7.505504258817071E-4,3.234037627676185E-4,4.8818687808334984E-4,3.3022184128308986E-4,9.562068268753318E-4,8.813070007538413E-4,3.875442428049267E-4,7.041395075267797E-4,4.974739612604432E-4,0.0012026123912089507
stuff,2.96962114973565E-4,0.0013018230585183244,5.658367727333245E-4,5.601631810547473E-4,6.916809867686961E-8,4.3894129787356683E-4,3.3362429218450286E-4,8.083073300865246E-8,3.6617066261637906E-4,0.0012106666772320046,7.171750394721158E-4,1.2595495382532936E-4,0.001033236083532895,3.0183154722009223E-4,4.974739612604432E-4,4.6260015140650433E-4
press,5.938054688533593E-8,8.679061455073834E-4,5.658367727333245E-4,6.22334386240137E-8,6.916809867686961E-8,4.3894129787356683E-4,1.6685383870562113E-4,1.6174229675031354E-4,9.762517399512326E-4,5.503330502703185E-4,2.3911146466568377E-4,6.300894991462003E-5,7.749593472417078E-4,1.0057699007667185E-7,9.948235851149226E-4,0.005457682770073017
loud,3.563426618589009E-4,7.239180498732528E-5,1.886751178535881E-4,1.867625493106651E-4,0.0011759268456054603,5.852306822673567E-4,5.003947456633846E-4,8.083073300865246E-8,2.441544471494084E-4,5.5027802246807174E-8,9.562068268753318E-4,2.518469616467481E-4,7.749593472417078E-4,7.041395075267797E-4,0.0011191609910785425,0.0018501231010360913
av,6.532453962855805E-4,5.786282035000895E-4,2.829655315735222E-4,6.22334386240137E-8,6.916809867686961E-8,9.509541432518317E-4,3.3362429218450286E-4,0.0018591876899320152,1.2213823168243765E-4,1.6513843454266832E-4,7.967726246773868E-8,5.036309772895853E-4,2.58405874659333E-4,0.0031179872693669042,2.4879914933320337E-4,0.0012026123912089507
router,2.96962114973565E-4,6.50947689001913E-4,1.886751178535881E-4,1.867625493106651E-4,6.923726677554648E-5,5.852306822673567E-4,9.173208793605888E-4,2.4257302975896599E-4,6.102030935503205E-4,0.003301723162610677,3.1878872713342245E-4,1.2595495382532936E-4,2.58405874659333E-4,1.0067756706674851E-4,4.974739612604432E-4,4.6260015140650433E-4
