,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
posit,2.7376826767653266E-4,2.1599573710813246E-5,2.728720685694764E-5,6.22089325510017E-4,6.271050947511005E-4,6.972444539774454E-4,8.020782041899392E-4,2.6442987200800905E-5,2.5114768212036956E-5,6.5432303843979E-4,2.6862072124126412E-5,0.0011551146245402843,1.535456531916537E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.0070398858203811615,0.0010801946812777706,0.022102910426196158,8.88995269455029E-4,0.0014934059899286924,0.0022762515591859553,0.004108401064925101,0.004231142382000153,0.008288124657654316,4.223549677154902E-4,2.6888934196250537E-4,0.005947239167397953,6.143361584198065E-4,0.004167741489176832,0.013516577969494714,0.0015516045204006328,0.008092260099748304,0.0029962069158840907,2.1539557073472075E-7,2.5538733192001984E-7,0.00512352228869873,4.6802872385884066E-7,2.630319729684064E-4,0.007474933675788475,0.0018989064865445712,0.001306133605150719
tv,2.608620493432104E-4,2.1599573710813246E-7,2.731449406380458E-4,2.962330121476271E-7,5.975415688556914E-4,1.1982541286395892E-4,0.0011739686105716647,0.0021157034059360804,0.0075346816112932076,2.11283019831687E-4,0.001343372226927562,0.0018299989215117914,4.6079050522815276E-4,4.171492081457863E-4,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,6.46402107774897E-4,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,0.010277858621400052,3.797053562376667E-7,4.352327907866441E-7
weather,1.3036584175072982E-7,2.1621173284524055E-4,2.731449406380458E-4,2.962330121476271E-7,2.989200951646912E-4,0.0015574428437452898,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.11283019831687E-4,2.686207212412641E-7,1.1436778460794896E-7,4.6079050522815276E-4,0.0037510090135067157,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
smaller,6.519595745953999E-4,6.482032070615055E-4,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,0.001653284005804045,7.827109499912066E-4,2.6442987200800907E-7,2.5114768212036955E-7,8.444988634830968E-4,0.005641303766787788,6.863210754323017E-4,0.0056813427137443785,0.0025008115864963675,5.00595458297645E-7,3.8819198323444967E-4,4.049973681239963E-4,8.563648105533588E-4,8.617976785096178E-4,2.5564271925193984E-4,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,9.347754693614609E-4,0.0018989064865445712,4.356680235774307E-4
packag,1.3049620759248055E-4,8.64198944169638E-4,2.731449406380458E-4,0.009479752621736216,2.986214736910002E-7,0.001653284005804045,5.870821197009775E-4,0.0010579839179040444,7.53694194043229E-4,2.1107194788380322E-7,0.001611992948168826,1.1448215239255689E-4,0.0010749731179947675,4.167324756701162E-7,5.010960537559427E-4,3.8780417905539435E-7,4.045927753486477E-7,4.2839638948721244E-4,0.0010771932492443384,2.5538733192001984E-7,6.403602410572092E-7,4.6849675258269944E-4,0.00367903162190875,9.347754693614609E-4,7.59790417831571E-4,4.352327907866441E-7
preorder,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.1150773698146965E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1561096630545544E-4,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
question,2.608620493432104E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,6.229915136724247E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,2.2884993700050585E-4,6.143361584198065E-4,4.167324756701162E-7,5.00595458297645E-7,7.75996162289844E-4,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,0.0012771920469320192,6.403602410572092E-7,4.6802872385884066E-7,2.630319729684064E-4,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
rate,0.0011734229415983192,2.1621173284524055E-4,5.460170092075222E-4,0.003258859366636046,2.986214736910002E-7,0.0014376413911718453,5.870821197009775E-4,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,0.002417855111892618,0.0011437922138640975,0.0015356100775697286,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,0.0019387755321832213,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,7.8857038049769E-4,0.0018690837845653202,0.0018989064865445712,4.356680235774307E-4
buck,7.823254163461297E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.965292451597747E-4,2.986214736910002E-7,3.354680274961585E-4,1.956288302902291E-7,2.6442987200800907E-7,0.0027628756510061853,0.002110930550785916,2.686207212412641E-7,2.2884993700050585E-4,1.535456531916537E-7,4.171492081457863E-4,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,0.0017123016526856517,2.1561096630545544E-4,2.5538733192001984E-7,0.016650006627728496,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,0.004352763140657227
