,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19
door,1.5182870362875155E-4,3.925383056211485E-5,1.679346854986384E-7,7.79684782798532E-8,1.5882092361744877E-4,4.291223078873183E-4,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6453813602783569E-4,0.003367238318872511,1.2188142010380396E-7,1.7553101199853542E-4,1.0324503267498795E-7,0.0014539573530254332,1.5647747913529294E-7,3.708854912544177E-4,1.5095032285255053E-7,1.5907849271498413E-4,5.643990617429998E-7,4.604484030728485E-7,0.0012501961000006873,2.2034887765156081E-4,5.308430424525798E-7,5.22794903377046E-7,3.389285632795047E-4,2.986147857319467E-7,4.822075073922411E-7,0.004798496211741575,4.838406886794827E-7,0.0016833109340608796,3.9227273653536567E-4,0.002174137193165746,0.005238730032658185,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,0.01793126758340969,2.9491600202430344E-7
auto,8.601265546125976E-4,0.0016470530843550309,0.0028550575881623515,2.3398340331783944E-4,0.006663973639217249,7.355944603564785E-4,0.023280241247431638,0.0027499653107983255,4.6328200644179656E-4,9.184694237381109E-4,0.0024657708077458177,0.001161192732217647,9.751732422505355E-4,5.262423246829219E-4,5.163284084076147E-4,9.154745734893297E-4,0.0014084537896967716,0.0033146050956110854,0.003321058053078964,0.0020670664113354837,5.643990617429998E-7,0.0023027024637673156,1.56411235608135E-4,8.807351243595355E-4,0.002654746055305352,5.22794903377046E-7,0.008641294635948591,0.005375364757960772,0.002893727251860839,0.002666068165194936,0.0038712093501245405,0.021315394470259073,3.9188085567968604E-7,1.5528442205312093E-7,7.486038201993815E-4,0.0038256230675152384,0.006036300039686193,0.018627405760875928,4.482704828231717E-7,5.901269200506312E-4
tv,5.064329634534498E-5,1.1768306245445222E-4,1.679346854986384E-7,7.797627512768117E-4,1.586622613560927E-7,4.904167383811503E-4,0.0015101873785029652,0.006134277669291766,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,9.293085391075664E-4,5.390212623156396E-5,1.5647747913529294E-7,3.245277022094307E-4,1.5095032285255053E-7,7.949949660918747E-8,5.649634608047427E-4,9.213572545487698E-4,1.562549806275075E-7,2.2034887765156081E-4,5.308430424525798E-7,0.010456420862444296,2.824498825130483E-4,8.961429719815719E-4,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9227273653536567E-4,1.5543970647517404E-4,0.0024947640139333606,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,0.005379694064360883,2.9491600202430344E-7
lot,0.003592132551264575,0.0038822861932866462,0.0025191882171650744,0.004756155143549325,0.0017454435371783757,0.0026970162361591044,0.00427863353524534,0.023690398028976482,0.005712061819511134,0.002142891251750923,0.0047670034794638,0.002670592344139396,0.004265971585053242,0.01595754008279593,0.006607785336231904,0.001723198742793485,0.005633345726349681,0.004589444294348225,0.005736263218719772,0.0027825618808181704,0.002822559707776742,0.003684047672985861,0.0014064510806281948,0.004843052604607383,0.0015930599704001918,0.008365241248936112,0.0027110331554706718,0.003285061257837145,0.022182027547550484,0.0031991751768315957,0.013548023123714194,5.609166724628056E-7,0.006270485571730657,0.0010871462387938998,0.0034925698389242058,0.004918580161298609,0.004150074166401337,0.0035484363108680343,0.0013452597189523381,8.850429220749346E-4
problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015295214573235294,0.0023482868556715273,0.019703753057128695,0.012569351562341782,0.007484886898581375,0.00580302342748521,0.007347876367715973,0.011078608550655221,0.012585615942937493,0.02457623323645002,0.009241357153778119,0.00790892508172556,0.00983620947756012,0.01150657567413626,0.008755746114294667,0.004945630849369747,0.018145492901000305,0.023549802288100566,0.0036309909108676905,0.005632895638664197
ship,1.5182870362875155E-4,3.925383056211485E-5,1.679346854986384E-7,2.3398340331783944E-4,1.586622613560927E-7,3.6782787739348625E-4,1.2583846167010793E-7,2.1173104192824578E-4,1.5437587685498053E-7,7.654166952365094E-4,1.6437376226557016E-7,3.4843909502901295E-4,0.004265971585053242,0.010170803423503549,1.0324503267498795E-7,5.384827795361036E-8,3.1311143574972117E-4,2.7816991316444384E-4,7.549025645856052E-4,6.360754723701089E-4,5.643990617429998E-7,4.604484030728485E-7,0.0029690008869032703,0.014088460058519027,0.012209920819451789,0.026663062867132718,1.6949252098013556E-4,2.986147857319467E-7,4.822075073922411E-7,5.336401186482964E-4,4.843245293681621E-4,5.614775891352684E-4,3.9188085567968604E-7,4.660085505814159E-4,4.991523639516702E-4,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,5.901269200506312E-4
eat,5.059270364170328E-8,1.1768306245445222E-4,5.039719911814138E-4,9.356997078365181E-4,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,6.347700867399258E-4,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,3.4843909502901295E-4,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.390212623156396E-5,1.5647747913529294E-7,2.3178894522493446E-8,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,0.014499983541004062,1.5528442205312093E-7,2.494514562477113E-7,0.0010932303330568154,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,0.006488446960536701
iii,5.565703327623778E-4,2.74541526239127E-4,1.68102620184137E-4,2.3398340331783944E-4,0.0012694567531100975,6.129443049383207E-8,2.51802761801886E-4,2.1151952240583997E-7,1.5437587685498053E-7,1.5320578123010313E-4,8.220331850901163E-4,1.1610766245551915E-7,3.657661417315157E-4,3.5088666834072864E-4,2.0659331038265085E-4,2.692952380460054E-4,1.5647747913529294E-7,3.013488076869373E-4,0.0025663064388162116,0.02257793653650585,5.643990617429998E-7,9.213572545487698E-4,3.126662162356425E-4,0.0013209926221648518,0.0010622169279476121,5.22794903377046E-7,2.824498825130483E-4,2.986147857319467E-7,4.822075073922411E-7,5.336401186482964E-4,9.681652180476448E-4,5.609166724628056E-7,3.9227273653536567E-4,1.5543970647517404E-4,4.991523639516702E-4,5.467517861651306E-4,3.7762241983162794E-4,8.874417020431117E-4,4.482704828231717E-7,2.952109180263277E-4
1gb,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1173104192824578E-4,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,0.004559422420553367,1.0324503267498795E-7,5.390212623156396E-5,1.5647747913529294E-7,2.3178894522493446E-8,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.609088514759213E-4,1.562549806275075E-7,2.2012874890265817E-7,0.00583980431002083,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,0.0015998541419216161,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,0.0032443709382693623
softwar,2.0242140727045485E-4,0.003529354649771128,5.039719911814138E-4,0.002417100795153729,1.5882092361744877E-4,0.007048920801221182,1.2583846167010793E-7,8.462896091457658E-4,0.0024701684055565437,0.002142891251750923,4.93285660558976E-4,0.001161192732217647,1.2188142010380396E-7,5.262423246829219E-4,2.0659331038265085E-4,3.231435159996158E-4,6.26066394020307E-4,4.40422174821898E-4,0.001962505147406009,9.540734588068588E-4,0.0011293625225477423,4.604484030728485E-7,3.126662162356425E-4,0.0013209926221648518,0.0010622169279476121,5.22794903377046E-7,9.037153709440684E-4,0.0035836760435690915,4.826897148996333E-4,5.331070116366599E-7,9.681652180476448E-4,5.614775891352684E-4,3.9227273653536567E-4,0.016615588444105992,0.0014969581889425156,2.7351251271928815E-4,0.005659054865029221,0.0017744399049847528,4.482704828231717E-7,2.9491600202430344E-7
